/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 160, Reward 6.7
Episode 160, Reward 0.7
Episode 160, Reward 0.0
Episode 161, Reward 106.35
Episode 161, Reward 116.35
Episode 161, Reward 0.0
Episode 161, Reward 112.7
Episode 161, Reward 111.0
Episode 162, Reward 112.0
Episode 162, Reward 0.35
Episode 162, Reward -65
Episode 162, Reward 107.0
Episode 162, Reward 114.1
Episode 163, Reward 1.0499999999999998
Episode 163, Reward 3.0
Episode 163, Reward 5.0
Episode 163, Reward 10.05
Episode 163, Reward 42.75
Episode 164, Reward 1.0499999999999998
Episode 164, Reward 0.35
Episode 164, Reward 6.0
Episode 164, Reward 12.0
Episode 164, Reward 14.05
Episode 165, Reward 12.0
Episode 165, Reward 12.7
Episode 165, Reward 12.0
Episode 165, Reward 12.7
Episode 165, Reward 12.0
Episode 166, Reward 12.0
Episode 166, Reward 13.4
Episode 166, Reward 119.0
Episode 166, Reward 122.4
Episode 166, Reward 16.75
Episode 167, Reward 120.35
Episode 167, Reward 124.0
Episode 167, Reward 17.75
Episode 167, Reward 220.35
Episode 167, Reward -86
Episode 168, Reward 9.7
Episode 168, Reward 6.05
Episode 168, Reward 6.7
Episode 168, Reward 6.35
Episode 168, Reward 15.35
Episode 169, Reward 119.4
Episode 169, Reward 15.7
Episode 169, Reward 114.1
Episode 169, Reward 116.35
Episode 169, Reward 6.7
Episode 170, Reward 14.7
Episode 170, Reward 18.0
Episode 170, Reward 19.75
Episode 170, Reward 9.7
Episode 170, Reward -32
Episode 171, Reward 19.4
Episode 171, Reward 21.7
Episode 171, Reward 18.7
Episode 171, Reward 15.05
Episode 171, Reward 23.35
Episode 172, Reward 17.05
Episode 172, Reward 6.7
Episode 172, Reward -29
Episode 172, Reward 12.05
Episode 172, Reward 18.0
Episode 173, Reward 0.0
Episode 173, Reward 0.7
Episode 173, Reward 13.05
Episode 173, Reward 7.05
Episode 173, Reward 2.0999999999999996
Episode 174, Reward -29
Episode 174, Reward -71
Episode 174, Reward -71
Episode 174, Reward -67
Episode 174, Reward 6.35
Episode 175, Reward 10.35
Episode 175, Reward 12.35
Episode 175, Reward 6.7
Episode 175, Reward 7.7
Episode 175, Reward 4.0
Episode 176, Reward 121.0
Episode 176, Reward 24.35
Episode 176, Reward 112.35
Episode 176, Reward 120.35
Episode 176, Reward 110.4
Episode 177, Reward 0.0
Episode 177, Reward 0.0
Episode 177, Reward 0.0
Episode 177, Reward 7.05
Episode 177, Reward 6.35
Episode 178, Reward 14.1
Episode 178, Reward 19.1
Episode 178, Reward 13.4
Episode 178, Reward 4.7
Episode 178, Reward 12.35
Episode 179, Reward 43.699999999999996
Episode 179, Reward 109.35
Episode 179, Reward 109.0
Episode 179, Reward 42.75
Episode 179, Reward 109.35
Episode 180, Reward 6.0
Episode 180, Reward 6.35
Episode 180, Reward 13.4
Episode 180, Reward -55
Episode 180, Reward 119.7
Episode 181, Reward 7.75
Episode 181, Reward -36
Episode 181, Reward 6.7
Episode 181, Reward 112.35
Episode 181, Reward -20
Episode 182, Reward -74
Episode 182, Reward 6.7
Episode 182, Reward 118.7
Episode 182, Reward -58
Episode 182, Reward 15
Episode 183, Reward -38
Episode 183, Reward 128.0
Episode 183, Reward 16.7
Episode 183, Reward 62.75
Episode 183, Reward 10.7
Episode 184, Reward 10.0
Episode 184, Reward 10.0
Episode 184, Reward 10.0
Episode 184, Reward 10.0
Episode 184, Reward 10.0
Episode 185, Reward -50
Episode 185, Reward 115
Episode 185, Reward 5.0
Episode 185, Reward -64
Episode 185, Reward 0.35
Episode 186, Reward 6.35
Episode 186, Reward 4.7
Episode 186, Reward 8.35
Episode 186, Reward 0.35
Episode 186, Reward 110.35
Episode 187, Reward 5.35
Episode 187, Reward 7.05
Episode 187, Reward 12.35
Episode 187, Reward -39
Episode 187, Reward 13.0
Episode 188, Reward 111
Episode 188, Reward 13.05
Episode 188, Reward -55
Episode 188, Reward 14.4
Episode 188, Reward 7.05
Episode 189, Reward -33
Episode 189, Reward -4
Episode 189, Reward 7.7
Episode 189, Reward 0.0
Episode 189, Reward 12.7
Episode 190, Reward 19.0
Episode 190, Reward 12.0
Episode 190, Reward 12.0
Episode 190, Reward 13.75
Episode 190, Reward 12.0
