/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 111, Reward -42
Episode 111, Reward 12.0
Episode 111, Reward 12.35
Episode 111, Reward 18.7
Episode 111, Reward -29
Episode 112, Reward 7.4
Episode 112, Reward 12.0
Episode 112, Reward 18.0
Episode 112, Reward 7.05
Episode 112, Reward 19.05
Episode 113, Reward 119.0
Episode 113, Reward 12.7
Episode 113, Reward 0.0
Episode 113, Reward 7.75
Episode 113, Reward 1.75
Episode 114, Reward 118.35
Episode 114, Reward 58
Episode 114, Reward 119.05
Episode 114, Reward 106.7
Episode 114, Reward 76
Episode 115, Reward 1
Episode 115, Reward -12
Episode 115, Reward 6.35
Episode 115, Reward 6.0
Episode 115, Reward 12.35
Episode 116, Reward 18.0
Episode 116, Reward 12.35
Episode 116, Reward 8
Episode 116, Reward 19.4
Episode 116, Reward 13.75
Episode 117, Reward 6.0
Episode 117, Reward 42.75
Episode 117, Reward 13.05
Episode 117, Reward 7.05
Episode 117, Reward 8.1
Episode 118, Reward 19.0
Episode 118, Reward 19.0
Episode 118, Reward 19.0
Episode 118, Reward 19.7
Episode 118, Reward 19.35
Episode 119, Reward 18.35
Episode 119, Reward 6.0
Episode 119, Reward 0.7
Episode 119, Reward 14.4
Episode 119, Reward 8.4
Episode 120, Reward 24.35
Episode 120, Reward 24.0
Episode 120, Reward 25.05
Episode 120, Reward 25.05
Episode 120, Reward 24.35
Episode 121, Reward 1.0499999999999998
Episode 121, Reward 13.7
Episode 121, Reward 7.0
Episode 121, Reward 7.75
Episode 121, Reward 12.0
Episode 122, Reward 16.35
Episode 122, Reward 16.35
Episode 122, Reward 16.0
Episode 122, Reward 16.0
Episode 122, Reward 16.7
Episode 123, Reward 0.7
Episode 123, Reward 35.349999999999994
Episode 123, Reward 35.349999999999994
Episode 123, Reward 35.699999999999996
Episode 123, Reward 0.35
Episode 124, Reward 7.75
Episode 124, Reward 12.0
Episode 124, Reward 0.0
Episode 124, Reward 0.7
Episode 124, Reward 7.75
Episode 125, Reward 7.4
Episode 125, Reward 6.0
Episode 125, Reward 7.4
Episode 125, Reward 6.0
Episode 125, Reward 6.0
Episode 126, Reward 6.0
Episode 126, Reward 7.05
Episode 126, Reward 12.0
Episode 126, Reward 6.0
Episode 126, Reward 6.0
Episode 127, Reward 18.0
Episode 127, Reward 112.35
Episode 127, Reward 112.35
Episode 127, Reward 6.35
Episode 127, Reward 10.75
Episode 128, Reward 12.0
Episode 128, Reward 112.35
Episode 128, Reward 6.35
Episode 128, Reward 10.75
Episode 128, Reward 6.35
Episode 129, Reward 112.0
Episode 129, Reward 6.7
Episode 129, Reward 15.0
Episode 129, Reward 6.7
Episode 129, Reward 13.05
Episode 130, Reward 106.0
Episode 130, Reward 10.75
Episode 130, Reward -79
Episode 130, Reward 43.099999999999994
Episode 130, Reward 12.35
Episode 131, Reward 16.35
Episode 131, Reward 8.4
Episode 131, Reward 7.35
Episode 131, Reward 13.7
Episode 131, Reward 13.0
Episode 132, Reward 13.7
Episode 132, Reward 13.0
Episode 132, Reward 13.7
Episode 132, Reward 13.0
Episode 132, Reward 14.75
Episode 133, Reward 1.75
Episode 133, Reward 6.0
Episode 133, Reward -53
Episode 133, Reward 0.0
Episode 133, Reward -33
Episode 134, Reward 14.1
Episode 134, Reward 119.0
Episode 134, Reward 117.0
Episode 134, Reward 18.7
Episode 134, Reward 124.7
Episode 135, Reward -69
Episode 135, Reward 106.0
Episode 135, Reward -54
Episode 135, Reward -56
Episode 135, Reward -36
Episode 136, Reward 12.35
Episode 136, Reward 12.0
Episode 136, Reward 13.05
Episode 136, Reward 12.35
Episode 136, Reward 12.0
Episode 137, Reward -49
Episode 137, Reward 13.4
Episode 137, Reward -36
Episode 137, Reward 6.35
Episode 137, Reward 12.35
Episode 138, Reward 6.35
Episode 138, Reward 6.0
Episode 138, Reward 6.7
Episode 138, Reward 6.0
Episode 138, Reward 6.0
Episode 139, Reward -11
Episode 139, Reward 6.0
Episode 139, Reward 12.0
Episode 139, Reward 16.75
Episode 139, Reward 48.4
Episode 140, Reward 13.0
Episode 140, Reward 13.0
Episode 140, Reward 13.35
Episode 140, Reward 13.0
Episode 140, Reward 14.75
Episode 141, Reward 7.75
Episode 141, Reward 9.7
Episode 141, Reward 0
Episode 141, Reward 6.7
Episode 141, Reward 1.4
Episode 142, Reward 11.1
Episode 142, Reward -22
Episode 142, Reward 12.35
Episode 142, Reward 0.0
Episode 142, Reward -73
Episode 143, Reward 50.349999999999994
Episode 143, Reward 16.4
Episode 143, Reward 10.4
Episode 143, Reward -27
Episode 143, Reward 15.0
Episode 144, Reward 12.35
Episode 144, Reward 35.699999999999996
Episode 144, Reward -77
Episode 144, Reward 7.05
Episode 144, Reward 34.4
Episode 145, Reward 0.0
Episode 145, Reward -71
Episode 145, Reward 6.0
Episode 145, Reward 33.0
Episode 145, Reward 7.05
Episode 146, Reward 35.699999999999996
Episode 146, Reward 0.0
Episode 146, Reward 7.05
Episode 146, Reward 0.0
Episode 146, Reward 6.0
Episode 147, Reward 18.0
Episode 147, Reward 34.75
Episode 147, Reward 12.35
Episode 147, Reward 18.0
Episode 147, Reward 13.4
Episode 148, Reward 12.7
Episode 148, Reward 0.35
Episode 148, Reward 106.0
Episode 148, Reward 7.05
Episode 148, Reward 13.4
Episode 149, Reward 6.0
Episode 149, Reward 112.0
Episode 149, Reward 6.0
Episode 149, Reward 112.0
Episode 149, Reward 6.0
Episode 150, Reward -40
Episode 150, Reward 7.05
Episode 150, Reward 13.4
Episode 150, Reward 12.7
Episode 150, Reward 0.35
Episode 151, Reward 214.0
Episode 151, Reward 13.75
Episode 151, Reward 12.7
Episode 151, Reward 7.05
Episode 151, Reward 12.0
Episode 152, Reward 119.7
Episode 152, Reward 120.05
Episode 152, Reward 119.35
Episode 152, Reward 126.05
Episode 152, Reward 119.0
Episode 153, Reward 7.0
Episode 153, Reward 7.0
Episode 153, Reward 7.7
Episode 153, Reward 8.4
Episode 153, Reward 7.0
Episode 154, Reward 6.0
Episode 154, Reward 13.4
Episode 154, Reward 6.35
Episode 154, Reward 0.7
Episode 154, Reward 0.0
Episode 155, Reward 7.75
Episode 155, Reward 6.35
Episode 155, Reward 6.0
Episode 155, Reward 13.0
Episode 155, Reward 6.35
Episode 156, Reward -41
Episode 156, Reward 7.4
Episode 156, Reward -39
Episode 156, Reward 8.1
Episode 156, Reward -27
Episode 157, Reward 7.05
Episode 157, Reward 113.7
Episode 157, Reward 114.4
Episode 157, Reward -9
Episode 157, Reward 112.35
Episode 158, Reward -58
Episode 158, Reward -58
Episode 158, Reward -39
Episode 158, Reward 119.0
Episode 158, Reward 14.75
Episode 159, Reward 19.35
Episode 159, Reward 20.05
Episode 159, Reward 125.0
Episode 159, Reward 62.75
Episode 159, Reward 19.35
Episode 160, Reward 7.75
Episode 160, Reward 112.7
Episode 160, Reward 112.35
Episode 160, Reward 35.699999999999996
Episode 160, Reward 0.7
Episode 161, Reward 112.7
Episode 161, Reward 112.35
Episode 161, Reward 36.4
Episode 161, Reward 0.7
Episode 161, Reward 7.4
Episode 162, Reward 7.4
Episode 162, Reward 0.35
Episode 162, Reward 1.4
Episode 162, Reward 0.7
Episode 162, Reward 6.0
Episode 163, Reward 0.0
Episode 163, Reward 0.7
Episode 163, Reward 0.0
Episode 163, Reward 0.7
Episode 163, Reward 7.4
Episode 164, Reward 7.75
Episode 164, Reward 6.7
Episode 164, Reward 6.0
Episode 164, Reward 12.0
Episode 164, Reward 7.75
Episode 165, Reward 6.0
Episode 165, Reward 6.0
Episode 165, Reward 7.75
Episode 165, Reward 7.05
Episode 165, Reward 7.75
Episode 166, Reward 117.7
Episode 166, Reward 12.0
Episode 166, Reward 118.35
Episode 166, Reward 19.0
Episode 166, Reward 114.1
Episode 167, Reward 12.7
Episode 167, Reward -86
Episode 167, Reward 16.35
Episode 167, Reward 15.7
Episode 167, Reward 13.75
Episode 168, Reward 6.0
Episode 168, Reward 7.35
Episode 168, Reward 15.0
Episode 168, Reward 6.0
Episode 168, Reward 7.4
Episode 169, Reward 119.4
Episode 169, Reward 15.7
Episode 169, Reward 114.1
Episode 169, Reward 116.35
Episode 169, Reward 6.7
Episode 170, Reward 15.7
Episode 170, Reward 13.75
Episode 170, Reward 12.0
Episode 170, Reward 12.0
Episode 170, Reward -25
Episode 171, Reward 13.4
Episode 171, Reward 18.35
Episode 171, Reward 12.0
Episode 171, Reward 12.0
Episode 171, Reward 24.35
Episode 172, Reward 19.05
Episode 172, Reward 18.35
Episode 172, Reward 18.0
Episode 172, Reward 18.0
Episode 172, Reward 18.7
Episode 173, Reward 12.0
Episode 173, Reward -32
Episode 173, Reward 19.75
Episode 173, Reward 12.0
Episode 173, Reward 19.4
Episode 174, Reward 119.0
Episode 174, Reward 119.0
Episode 174, Reward 119.35
Episode 174, Reward 119.0
Episode 174, Reward 119.0
Episode 175, Reward 6.0
Episode 175, Reward 6.7
Episode 175, Reward 6.0
Episode 175, Reward 6.35
Episode 175, Reward 6.35
Episode 176, Reward 106.7
Episode 176, Reward 106.0
Episode 176, Reward 106.0
Episode 176, Reward 106.0
Episode 176, Reward 106.0
Episode 177, Reward 7.75
Episode 177, Reward 1.75
Episode 177, Reward 9.0
Episode 177, Reward 7.05
Episode 177, Reward 6.0
Episode 178, Reward 15.0
Episode 178, Reward 15.35
Episode 178, Reward 15.0
Episode 178, Reward 15.0
Episode 178, Reward 15.0
Episode 179, Reward 6.0
Episode 179, Reward 12.0
Episode 179, Reward 12.35
Episode 179, Reward 12.0
Episode 179, Reward -1
Episode 180, Reward 19.7
Episode 180, Reward 20.05
Episode 180, Reward 13.35
Episode 180, Reward 3
Episode 180, Reward 127.05
Episode 181, Reward 106.0
Episode 181, Reward 106.0
Episode 181, Reward 106.0
Episode 181, Reward 106.0
Episode 181, Reward 106.0
Episode 182, Reward -75
Episode 182, Reward 6.0
Episode 182, Reward -74
Episode 182, Reward -74
Episode 182, Reward 9
Episode 183, Reward -13
Episode 183, Reward 125.0
Episode 183, Reward 12.0
Episode 183, Reward 24.0
Episode 183, Reward 13.75
Episode 184, Reward 113.35
Episode 184, Reward 0.0
Episode 184, Reward 7.75
Episode 184, Reward 0.7
Episode 184, Reward 0.7
Episode 185, Reward 112.0
Episode 185, Reward 112.0
Episode 185, Reward 112.0
Episode 185, Reward 112.0
Episode 185, Reward 112.0
Episode 186, Reward 13.05
Episode 186, Reward 0.0
Episode 186, Reward 6.35
Episode 186, Reward 7.4
Episode 186, Reward -10
Episode 187, Reward 6.0
Episode 187, Reward 6.0
Episode 187, Reward 8.1
Episode 187, Reward 6.35
Episode 187, Reward 13.7
Episode 188, Reward 100
Episode 188, Reward 12.0
Episode 188, Reward -45
Episode 188, Reward 19.0
Episode 188, Reward 6.0
Episode 189, Reward 12.0
Episode 189, Reward -39
Episode 189, Reward 19.0
Episode 189, Reward 6.7
Episode 189, Reward 24.0
Episode 190, Reward 4
Episode 190, Reward 19.35
